0	3811	0	0	1	-9
0	3850	0	0	1	-9
1	3910	0	0	1	-9
0	4058	0	0	2	-9
0	4100	0	0	1	-9
1	4195	3910	0	2	-9
0	4444	0	0	2	-9
1	4459	3910	0	2	-9
3	4793	0	0	2	-9
0	4795	0	0	1	-9
0	4796	0	0	1	-9
0	4816	0	0	1	-9
3	4835	0	4793	1	-9
0	4867	0	0	1	-9
2	4890	0	0	2	-9
0	4893	0	0	1	-9
0	4895	0	0	2	-9
0	4897	0	0	2	-9
5	4901	0	4952	2	-9
0	4910	0	0	2	-9
0	4915	0	0	2	-9
0	4919	0	0	2	-9
0	4922	0	0	2	-9
0	4927	0	0	1	-9
3	4936	0	4793	2	-9
5	4943	0	4952	1	-9
0	4946	0	0	2	-9
4	4950	0	0	2	-9
5	4952	0	0	2	-9
3	4960	0	4793	2	-9
5	4962	0	4952	1	-9
6	4970	0	0	1	-9
0	4976	0	0	1	-9
4	5018	0	4950	2	-9
0	5026	0	0	2	-9
0	5038	0	0	2	-9
6	5039	4970	0	2	-9
0	5040	0	0	1	-9
0	5046	0	0	2	-9
2	5050	5060	4890	1	-9
0	5054	0	0	1	-9
2	5060	0	0	1	-9
3	5075	4835	0	2	-9
0	5114	0	0	1	-9
0	5123	0	0	2	-9
0	545	0	0	2	-9
6	562	4970	0	2	-9
2	572	5060	4890	1	-9
