1	3811	2750	3122	1	-9
0	3850	2750	2015	1	-9
1	3910	2750	3122	1	-9
3	4058	4211	4294	2	-9
0	4100	3921	4294	1	-9
1	4195	3910	3977	2	-9
3	4444	4211	4294	2	-9
1	4459	3910	3977	2	-9
7	4793	4473	4657	2	-9
4	4795	4733	4613	1	-9
4	4796	4733	4613	1	-9
0	4816	0	4608	1	-9
7	4835	4665	4793	1	-9
0	4867	4845	0	1	-9
6	4890	4801	4784	2	-9
5	4893	4556	4641	1	-9
6	4895	4801	4784	2	-9
0	4897	4646	0	2	-9
11	4901	0	4952	2	-9
5	4910	4646	4641	2	-9
0	4915	0	4613	2	-9
0	4919	0	0	2	-9
8	4922	4672	4804	2	-9
0	4927	4672	4808	1	-9
7	4936	4665	4793	2	-9
11	4943	4749	4952	1	-9
0	4946	4749	0	2	-9
10	4950	4836	0	2	-9
11	4952	4653	4613	2	-9
7	4960	4665	4793	2	-9
11	4962	4749	4952	1	-9
12	4970	4824	4611	1	-9
9	4976	4750	4818	1	-9
10	5018	4957	4950	2	-9
2	5026	4882	4892	2	-9
2	5038	4949	4892	2	-9
12	5039	4970	4986	2	-9
0	5040	4672	4784	1	-9
0	5046	4762	0	2	-9
6	5050	5060	4890	1	-9
9	5054	4750	4818	1	-9
6	5060	4672	0	1	-9
7	5075	4835	4926	2	-9
0	5114	4787	4786	1	-9
8	5123	4672	4804	2	-9
0	545	4914	0	2	-9
12	562	4970	4937	2	-9
6	572	5060	4890	1	-9
